Layer 1 ,Layer 2 ,Shape_Area,Shape_Area,two_week_comb,time_since_first,jaccard_1,Layer 1 ,Layer 2 ,Shape_Area,Shape_Area,one_week_comb,time_since_first,jaccard_2,Layer 1 ,Layer 2 ,three_week_comb,Shape_Area,Shape_Area,time_since_first,jaccard_3
June1_June15,June16_June30,0.000198,0.0004180288,two_week_1_2,1,0.4736515762,June1_June7,June8_June14,0.000058,0.0002237993,one_week_1_2,1,0.2591607749,June1_June23,June24_July16,three_week_1_2,0.000241,0.0004700078,1,0.5127574479
June1_June15,July1_July15,0.000165,0.0002820685,two_week_1_3,2,0.5849642906,June1_June7,June15_June21,0.000022,0.0001075624,one_week_1_3,2,0.2045324388,June1_June23,July17_Aug8,three_week_1_3,0.00015,0.0003560563,2,0.4212816906
June1_June15,July16_July31,0.000086,0.0002527175,two_week_1_4,3,0.3403009289,June1_June7,June22_June28,0.000048,0.0002434653,one_week_1_4,3,0.197153352,June1_June23,Aug9_Aug31,three_week_1_4,0.000151,0.000981224,3,0.1538894279
June1_June15,August1_August15,0.000141,0.0002911414,two_week_1_5,4,0.4843007556,June1_June7,June29_July5,0.000049,0.0002336646,one_week_1_5,4,0.2097022827,June24_July16,July17_Aug8,three_week_2_3,0.000173,0.0003900624,1,0.4435187806
June1_June15,August16_August30,0.000117,0.0008779871,two_week_1_6,5,0.1332593611,June1_June7,July6_July12,0.000001,0.0000742146,one_week_1_6,5,0.01347443764,June24_July16,Aug9_Aug31,three_week_2_4,0.000249,0.0009406351,2,0.2647147656
June16_June30,July1_July15,0.000183,0.0004142126,two_week_2_3,1,0.4418021084,June1_June7,July13_July19,0,0.0001130947,one_week_1_7,6,0,July17_Aug8,Aug9_Aug31,three_week_3_4,0.000151,0.000832418,1,0.1813992489
June16_June30,July16_July31,0.000103,0.0003862598,two_week_2_4,2,0.2666599009,June1_June7,July20_July26,0.000005,0.0000784125,one_week_1_8,7,0.06376534354,,,,,,,
June16_June30,August1_August15,0.000184,0.000397741,two_week_2_5,3,0.4626126047,June1_June7,July27_Aug2,0.000009,0.000097736,one_week_1_9,8,0.09208479987,,,,,,,
June16_June30,August16_August30,0.000212,0.000933555,two_week_2_6,4,0.2270889235,June1_June7,Aug3_Aug9,0,0.0002304339,one_week_1_10,9,0,,,,,,,
July1_July15,July16_July31,0.000103,0.0008622943,two_week_3_4,1,0.1194487775,June1_June7,Aug10_Aug16,0,0.0000759093,one_week_1_11,10,0,,,,,,,
July1_July15,August1_August15,0.000151,0.0008622943,two_week_3_5,2,0.1751142272,June1_June7,Aug17_Aug23,0,0.0000886354,one_week_1_12,11,0,,,,,,,
July1_July15,August16_August30,0.000114,0.0008622943,two_week_3_6,3,0.1322054431,June1_June7,Aug24_Aug31,0.000009,0.0008248803,one_week_1_13,12,0.01091067395,,,,,,,
July16_July31,August1_August15,0.000106,0.000777615,two_week_4_5,1,0.1363142429,June8_June14,June15_June21,0.00005,0.0002408334,one_week_2_3,1,0.2076123993,,,,,,,
July16_July31,August16_August30,0.00009,0.000777615,two_week_4_6,2,0.1157385081,June8_June14,June22_June28,0.000143,0.0003104716,one_week_2_4,2,0.460589632,,,,,,,
August1_August15,August16_August30,0.000136,0.0008248975,two_week_5_6,1,0.1648689686,June8_June14,June29_July5,0.000166,0.0002788568,one_week_2_5,3,0.5952876172,,,,,,,
,,,,,,,June8_June14,July6_July12,0.000014,0.0002223102,one_week_2_6,4,0.06297506817,,,,,,,
,,,,,,,June8_June14,July13_July19,0.000041,0.0002337139,one_week_2_7,5,0.1754281624,,,,,,,
,,,,,,,June8_June14,July20_July26,0.000023,0.0002220844,one_week_2_8,6,0.1035642305,,,,,,,
,,,,,,,June8_June14,July27_Aug2,0.000041,0.0002281839,one_week_2_9,7,0.1796796356,,,,,,,
,,,,,,,June8_June14,Aug3_Aug9,0.000107,0.000285983,one_week_2_10,8,0.3741481137,,,,,,,
,,,,,,,June8_June14,Aug10_Aug16,0.000016,0.0002220844,one_week_2_11,9,0.07204468211,,,,,,,
,,,,,,,June8_June14,Aug17_Aug23,0.000028,0.000222741,one_week_2_12,10,0.1257065381,,,,,,,
,,,,,,,June8_June14,Aug24_Aug31,0.000109,0.0008872044,one_week_2_13,11,0.1228578217,,,,,,,
,,,,,,,June15_June21,June22_June28,0.000044,0.0002558825,one_week_3_4,1,0.1719539242,,,,,,,
,,,,,,,June15_June21,June29_July5,0.00005,0.000241534,one_week_3_5,2,0.2070101932,,,,,,,
,,,,,,,June15_June21,July6_July12,0.000013,0.0000709649,one_week_3_6,3,0.1831891541,,,,,,,
,,,,,,,June15_June21,July13_July19,0.000002,0.0001196239,one_week_3_7,4,0.01671906701,,,,,,,
,,,,,,,June15_June21,July20_July26,0.000011,0.0000814392,one_week_3_8,5,0.1350700891,,,,,,,
,,,,,,,June15_June21,July27_Aug2,0.000012,0.0001034002,one_week_3_9,6,0.1160539341,,,,,,,
,,,,,,,June15_June21,Aug3_Aug9,0.00003,0.0002097544,one_week_3_10,7,0.1430244133,,,,,,,
,,,,,,,June15_June21,Aug10_Aug16,0.000011,0.0000740018,one_week_3_11,8,0.148645033,,,,,,,
,,,,,,,June15_June21,Aug17_Aug23,0.000003,0.0000944365,one_week_3_12,9,0.03176737808,,,,,,,
,,,,,,,June15_June21,Aug24_Aug31,0.000023,0.0008199745,one_week_3_13,10,0.02804965276,,,,,,,
,,,,,,,June22_June28,June29_July5,0.000125,0.000329107,one_week_4_5,1,0.379815683,,,,,,,
,,,,,,,June22_June28,July6_July12,0.000013,0.0002326935,one_week_4_6,2,0.05586748233,,,,,,,
,,,,,,,June22_June28,July13_July19,0.000022,0.0002623301,one_week_4_7,3,0.08386380366,,,,,,,
,,,,,,,June22_June28,July20_July26,0.000023,0.0002311105,one_week_4_8,4,0.09951949392,,,,,,,
,,,,,,,June22_June28,July27_Aug2,0.000032,0.0002460584,one_week_4_9,5,0.1300504271,,,,,,,
,,,,,,,June22_June28,Aug3_Aug9,0.000095,0.0003061182,one_week_4_10,6,0.3103376408,,,,,,,
,,,,,,,June22_June28,Aug10_Aug16,0.000016,0.0002311105,one_week_4_11,7,0.06923095229,,,,,,,
,,,,,,,June22_June28,Aug17_Aug23,0.000022,0.0002380375,one_week_4_12,8,0.09242241244,,,,,,,
,,,,,,,June22_June28,Aug24_Aug31,0.000174,0.0008315825,one_week_4_13,9,0.2092396124,,,,,,,
,,,,,,,June29_July5,July6_July12,0.000015,0.0002225751,one_week_5_6,1,0.06739298331,,,,,,,
,,,,,,,June29_July5,July13_July19,0.000053,0.0002229577,one_week_5_7,2,0.2377132523,,,,,,,
,,,,,,,June29_July5,July20_July26,0.000023,0.0002225654,one_week_5_8,3,0.1033404114,,,,,,,
,,,,,,,June29_July5,July27_Aug2,0.000045,0.0002240313,one_week_5_9,4,0.2008647899,,,,,,,
,,,,,,,June29_July5,Aug3_Aug9,0.000133,0.0002599053,one_week_5_10,5,0.5117248475,,,,,,,
,,,,,,,June29_July5,Aug10_Aug16,0.000016,0.0002225654,one_week_5_11,6,0.07188898185,,,,,,,
,,,,,,,June29_July5,Aug17_Aug23,0.000028,0.0002225654,one_week_5_12,7,0.1258057182,,,,,,,
,,,,,,,June29_July5,Aug24_Aug31,0.000114,0.0008824014,one_week_5_13,8,0.1291929047,,,,,,,
,,,,,,,July6_July12,July13_July19,0.000004,0.0000632764,one_week_6_7,1,0.06321472144,,,,,,,
,,,,,,,July6_July12,July20_July26,0.000008,0.000030319,one_week_6_8,2,0.2638609453,,,,,,,
,,,,,,,July6_July12,July27_Aug2,0.000012,0.0000495108,one_week_6_9,3,0.2423713614,,,,,,,
,,,,,,,July6_July12,Aug3_Aug9,0.000014,0.000171026,one_week_6_10,4,0.08185889865,,,,,,,
,,,,,,,July6_July12,Aug10_Aug16,0.000007,0.0000234882,one_week_6_11,5,0.2980219855,,,,,,,
,,,,,,,July6_July12,Aug17_Aug23,0.000004,0.0000392339,one_week_6_12,6,0.1019526481,,,,,,,
,,,,,,,July6_July12,Aug24_Aug31,0.000014,0.0007746898,one_week_6_13,7,0.01807174949,,,,,,,
,,,,,,,July13_July19,July20_July26,0.000007,0.0000694345,one_week_7_8,1,0.1008144366,,,,,,,
,,,,,,,July13_July19,July27_Aug2,0.000019,0.0000805475,one_week_7_9,2,0.2358856575,,,,,,,
,,,,,,,July13_July19,Aug3_Aug9,0.000053,0.0001704219,one_week_7_10,3,0.3109928947,,,,,,,
,,,,,,,July13_July19,Aug10_Aug16,0.000003,0.0000657919,one_week_7_11,4,0.04559831833,,,,,,,
,,,,,,,July13_July19,Aug17_Aug23,0.000021,0.0000601022,one_week_7_12,5,0.3494048471,,,,,,,
,,,,,,,July13_July19,Aug24_Aug31,0.000047,0.0007803117,one_week_7_13,6,0.06023234049,,,,,,,
,,,,,,,July20_July26,July27_Aug2,0.00002,0.0000500232,one_week_8_9,1,0.3998144861,,,,,,,
,,,,,,,July20_July26,Aug3_Aug9,0.000018,0.000175842,one_week_8_10,2,0.1023646228,,,,,,,
,,,,,,,July20_July26,Aug10_Aug16,0.00001,0.0000293443,one_week_8_11,3,0.340781685,,,,,,,
,,,,,,,July20_July26,Aug17_Aug23,0.000008,0.000044378,one_week_8_12,4,0.1802695029,,,,,,,
,,,,,,,July20_July26,Aug24_Aug31,0.000022,0.0007752829,one_week_8_13,5,0.02837673835,,,,,,,
,,,,,,,July27_Aug2,Aug3_Aug9,0.000037,0.0001802842,one_week_9_10,1,0.2052315178,,,,,,,
,,,,,,,July27_Aug2,Aug10_Aug16,0.000011,0.0000515337,one_week_9_11,2,0.2134525563,,,,,,,
,,,,,,,July27_Aug2,Aug17_Aug23,0.000008,0.000066992,one_week_9_12,3,0.1194172439,,,,,,,
,,,,,,,July27_Aug2,Aug24_Aug31,0.000037,0.0007839278,one_week_9_13,4,0.04719822412,,,,,,,
,,,,,,,Aug3_Aug9,Aug10_Aug16,0.000016,0.0001704274,one_week_10_11,1,0.09388161763,,,,,,,
,,,,,,,Aug3_Aug9,Aug17_Aug23,0.000028,0.0001704219,one_week_10_12,2,0.164298133,,,,,,,
,,,,,,,Aug3_Aug9,Aug24_Aug31,0.000126,0.0008188892,one_week_10_13,3,0.15386697,,,,,,,
,,,,,,,Aug10_Aug16,Aug17_Aug23,0.000005,0.0000388884,one_week_11_12,1,0.1285730449,,,,,,,
,,,,,,,Aug10_Aug16,Aug24_Aug31,0.000015,0.0007750822,one_week_11_13,2,0.01935278607,,,,,,,
,,,,,,,Aug17_Aug23,Aug24_Aug31,0.000028,0.0007741014,one_week_12_13,1,0.03617097192,,,,,,,